Frames,Average Velocity,Standard deviation of velocity 
514,0.614417968,0.742987791
515,0.552120047,0.691809796
516,0.514639292,0.709875948
517,0.528333352,0.748916154
518,0.583694532,0.855838764
519,0.667144383,0.936978943
520,0.714631936,1.021373338
521,0.796273909,1.109542872
522,0.868384311,1.188535531
523,0.882767063,1.236676141
524,0.942062146,1.239220234
525,0.889504426,1.251438281
526,0.850846319,1.390407726
527,0.799916906,1.65233432
528,0.85562645,1.800015864
529,0.877846563,1.799490596
530,0.831773612,1.646469711
531,0.808089173,1.395627777
532,0.772199737,1.191618428
533,0.810668018,1.075365943
534,0.83373871,1.030297243
535,0.835492024,1.005763031
536,0.791539915,0.970530951
537,0.746881646,1.01344278
538,0.782387313,0.986230193
539,0.705359888,0.984754585
540,0.657001583,0.967308261
541,0.633315898,0.973309102
542,0.687603265,0.974901203
543,0.698900776,1.044973865
544,0.777611361,1.122786324
545,0.832035735,1.204206897
546,0.895447082,1.259803933
547,0.85513186,1.307220371
548,0.852888376,1.281393225
549,0.807560528,1.278711009
550,0.793166146,1.277280143
551,0.827292396,1.34915055
552,0.883699083,1.432859419
553,0.865603125,1.495618899
554,0.823091088,1.490571537
555,0.810130121,1.446991151
556,0.759444146,1.427909008
557,0.777456958,1.431658061
558,0.569159042,1.009505134
559,0.681474438,1.0126113
560,0.710410596,1.046859355
561,0.705353774,1.127584889
562,0.811127283,1.135418473
563,0.80540278,1.186897945
564,0.81158448,1.285787109
565,0.863224242,1.452326305
566,0.866768816,1.60276692
567,0.832434878,1.603125811
568,0.794798729,1.425228111
569,0.734815902,1.272962205
570,0.794920898,1.266872669
571,0.890765002,1.369956833
572,0.938994755,1.469000686
573,0.951317204,1.474888645
574,0.933341224,1.409092681
575,0.883804604,1.35242828
576,0.932533347,1.333324917
577,0.978842449,1.357537829
578,0.99701954,1.374761014
579,0.99608293,1.36599185
580,0.886680471,1.357868497
581,0.833462431,1.183837089
582,0.77438398,0.966937562
583,0.737176569,0.836805796
584,0.806361529,0.850409143
585,0.824282549,1.0077533
586,0.837807537,1.158027636
587,0.845495,1.156764399
588,0.821513569,1.125372447
589,0.775185714,1.05032816
590,0.77081788,0.947100857
591,0.740975375,0.885919912
592,0.737335059,0.880529448
593,0.79956551,0.944786882
594,0.803586373,1.09236157
595,0.832156594,1.245559211
596,0.925580096,1.300124358
597,0.946693519,1.273852792
598,0.931855942,1.175203714
599,0.829158442,1.097214055
600,0.782541731,1.07250811
601,0.801295308,1.123734588
602,0.802285462,1.235957695
603,0.768398264,1.332139723
604,0.847299623,1.306339723
605,0.844222679,1.219623916
606,0.844246577,1.081531921
607,0.79912751,0.992920115
608,0.789066902,0.933080271
609,0.741895567,0.92397969
610,0.650322472,0.974617981
611,0.754116154,0.94307554
612,0.716542583,0.97584645
613,0.711960686,1.002055192
614,0.79605279,1.117416621
615,0.868302657,1.193889296
616,0.864280431,1.252298378
617,0.93295451,1.288012831
618,0.979117014,1.317324745
619,0.9738404,1.322868107
620,0.979490131,1.292165654
621,0.951176,1.326140711
622,0.971639941,1.419496398
623,1.016284812,1.512695403
624,1.007416122,1.521596702
625,0.960589265,1.391325432
626,0.870580388,1.212739586
